stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
Oncology,15062,6072,2476,2015,6825,3010,728,45.3,49.6,29.4,6.6
Other,6781,2434,1141,358,2533,1195,205,37.4,49.1,18.0,3.3
Infectious disease,3764,2594,1189,327,2610,1223,277,69.3,47.1,23.3,7.6
Neurology,2824,2040,959,409,2053,999,356,72.7,49.0,37.1,13.2
Metabolic,2794,1623,846,274,1642,889,212,58.8,54.8,25.1,8.1
Autoimmune,2102,1497,695,240,1506,740,186,71.6,49.4,26.8,9.5
Respiratory,1573,1053,494,106,1059,502,92,67.3,47.7,18.6,6.0
Cardiovascular,1360,901,469,121,904,487,100,66.5,54.1,21.3,7.7
Psychiatry,1352,913,508,157,923,524,131,68.3,57.4,25.8,10.1
Ophthalmology,1333,1110,528,95,1116,537,80,83.7,48.4,15.2,6.1
Hematology,1236,827,510,263,849,542,209,68.7,65.5,41.0,18.4
Allergy,964,694,350,102,698,360,88,72.4,51.9,25.1,9.4
Gastroenterology,811,589,292,100,608,306,67,75.0,52.0,22.9,8.9
Endocrine,687,512,348,122,513,366,103,74.7,71.5,29.6,15.8
Urology,341,203,85,13,205,91,5,60.1,44.8,5.9,1.6
