stratum,n_ph1,n_ph2,n_ph3,n_approved,n_adv_ph1,n_adv_ph2,n_adv_ph3,pos_ph1_to_2,pos_ph2_to_3,pos_ph3_to_approval,loa_from_ph1
small_molecule,32836,15602,7262,2836,16388,7771,1541,49.9,49.8,21.2,5.3
other,15392,9509,4010,46,9510,4018,37,61.8,42.3,0.9,0.2
antibody,4811,2532,1354,1258,2890,1613,641,60.1,63.7,47.3,18.1
vaccine,2142,1501,883,0,1501,883,0,70.1,58.8,0.0,0.0
protein,1917,1154,650,123,1158,657,112,60.4,56.9,17.2,5.9
peptide,890,561,313,264,596,362,180,67.0,64.5,57.5,24.9
cell_therapy,863,415,170,136,438,199,84,50.8,48.0,49.4,12.0
oligonucleotide,438,299,160,144,306,176,121,69.9,58.9,75.6,31.1
adc,363,188,83,67,188,89,61,51.8,47.3,73.5,18.0
gene_therapy,275,159,81,63,159,81,63,57.8,50.9,77.8,22.9
mrna,143,95,27,0,95,27,0,66.4,28.4,0.0,0.0
