drug_id,name,ts_cell,ts_animal,approved,present_cell,present_animal,ts_max
6,aficamten,1,2,True,1.0,1.0,2
7,atrasentan,1,2,True,2.0,2.0,2
9,brensocatib,0,0,True,0.0,0.0,0
12,delgocitinib,1,2,True,1.0,1.0,2
14,donidalorsen,0,0,True,0.0,0.0,0
17,elamipretide,0,0,True,3.0,2.0,0
18,elinzanetant,0,1,True,0.0,0.0,1
20,fitusiran,0,0,True,0.0,2.0,0
22,gepotidacin,2,2,True,2.0,2.0,2
30,paltusotine,0,0,True,0.0,2.0,0
33,plozasiran,0,0,True,1.0,0.0,0
34,remibrutinib,0,0,True,1.0,2.0,0
35,rilzabrutinib,0,0,True,2.0,2.0,0
41,suzetrigine,0,0,True,2.0,3.0,0
42,taletrectinib,0,1,False,1.0,2.0,1
44,tradipitant,0,0,True,0.0,0.0,0
45,treosulfan,2,2,True,1.0,1.0,2
55,lifileucel,0,0,True,2.0,0.0,0
58,acoramidis,0,0,True,2.0,0.0,0
60,arimoclomol,2,2,True,0.0,0.0,2
61,axatilimab,0,0,False,0.0,0.0,0
64,ceftobiprolemedocaril,0,0,True,0.0,3.0,0
65,concizumab,1,1,True,1.0,1.0,1
66,cosibelimab,0,0,True,0.0,0.0,0
67,crinecerfont,0,0,True,0.0,1.0,0
68,crovalimab,2,2,True,1.0,0.0,2
69,danicopan,0,0,True,1.0,1.0,0
71,donanemab,0,0,True,0.0,0.0,0
72,elafibranor,2,2,True,2.0,2.0,2
74,ensifentrine,0,0,True,2.0,0.0,0
76,givinostat,2,2,True,0.0,0.0,2
78,inavolisib,0,0,True,1.0,0.0,0
82,lebrikizumab,1,2,True,0.0,0.0,2
85,marstacimab,0,0,False,2.0,2.0,0
86,mavorixafor,0,0,True,2.0,2.0,0
87,nemolizumab,0,2,True,0.0,2.0,2
89,olezarsen,0,0,True,0.0,0.0,0
90,palopegteriparatide,0,0,False,0.0,0.0,0
92,resmetirom,0,0,True,3.0,2.0,0
94,seladelpar,0,1,True,1.0,2.0,1
96,sotatercept,2,2,True,0.0,2.0,2
97,sulopenem etzadroxil/probenecid,0,0,True,1.0,0.0,0
99,tislelizumab,2,2,True,0.0,0.0,2
100,tovorafenib,0,0,True,1.0,2.0,0
101,vadadustat,0,0,True,1.0,2.0,0
105,zanidatamab,0,0,True,1.0,2.0,0
106,zenocutuzumab,0,0,True,2.0,2.0,0
115,avacincaptadpegol,0,0,True,0.0,2.0,0
116,bexagliflozin,0,0,True,0.0,0.0,0
117,bimekizumab,0,0,True,0.0,1.0,0
120,cipaglucosidasealfa,0,0,True,0.0,2.0,0
121,daprodustat,0,0,True,1.0,2.0,0
122,efbemalenograstim alfa,0,0,False,0.0,0.0,0
123,elacestrant,0,0,True,1.0,1.0,0
124,elranatamab,0,0,True,2.0,0.0,0
125,epcoritamab,0,0,True,2.0,2.0,0
126,eplontersen,0,0,True,0.0,0.0,0
127,etrasimod,0,0,True,0.0,2.0,0
128,fezolinetant,0,0,True,0.0,2.0,0
130,fruquintinib,1,1,True,0.0,2.0,1
133,iptacopan,0,0,True,0.0,1.0,0
135,leniolisib,0,0,False,0.0,0.0,0
136,lotilaner,0,3,True,2.0,0.0,3
138,momelotinib,3,2,True,1.0,0.0,3
139,motixafortide,0,0,False,0.0,0.0,0
140,nedosiran,0,0,True,0.0,0.0,0
142,nirogacestat,0,0,True,1.0,1.0,0
143,nirsevimab,0,0,True,1.0,0.0,0
145,palovarotene,0,0,True,2.0,3.0,0
146,pegunigalsidase alfa,0,0,True,0.0,0.0,0
147,perfluorohexyloctane,0,0,True,0.0,0.0,0
148,pirtobrutinib,0,0,True,2.0,0.0,0
149,pozelimab,1,0,True,1.0,0.0,1
150,quizartinib,3,2,True,0.0,0.0,3
152,retifanlimab,0,0,True,0.0,0.0,0
154,ritlecitinib,0,0,True,0.0,0.0,0
155,rozanolixizumab,0,0,True,1.0,2.0,0
156,somatrogon,0,0,True,0.0,0.0,0
157,sotagliflozin,0,1,True,0.0,2.0,1
158,sparsentan,0,0,True,0.0,2.0,0
160,talquetamab,0,0,True,2.0,0.0,0
162,tofersen,0,0,True,0.0,0.0,0
163,toripalimab,0,0,True,0.0,0.0,0
164,trofinetide,0,0,True,0.0,2.0,0
165,vamorolone,1,2,True,1.0,3.0,2
166,velmanase alfa,0,0,True,0.0,0.0,0
167,zavegepant,0,0,True,0.0,1.0,0
174,nadofaragenefiradenovecvncg,0,0,False,0.0,0.0,0
175,abrocitinib,0,0,False,0.0,0.0,0
178,daridorexant,0,0,True,0.0,1.0,0
179,daxibotulinumtoxinA,0,0,True,1.0,2.0,0
180,deucravacitinib,0,0,True,0.0,2.0,0
182,faricimab,0,0,True,0.0,2.0,0
183,futibatinib,0,0,True,1.0,1.0,0
184,gadopiclenol,0,0,True,0.0,0.0,0
185,ganaxolone,2,2,True,1.0,0.0,2
187,mavacamten,0,0,True,0.0,2.0,0
188,mirvetuximab soravtansine,0,0,True,2.0,1.0,0
189,mitapivat,0,0,True,2.0,2.0,0
191,olipudasealfa,0,0,True,0.0,0.0,0
193,omidenepag isopropyl,0,0,False,2.0,1.0,0
194,oteseconazole,0,0,False,0.0,0.0,0
195,pacritinib,3,3,True,0.0,0.0,3
198,spesolimab,0,0,True,1.0,1.0,0
199,sutimlimab,3,1,True,1.0,0.0,3
200,tapinarof,2,1,True,2.0,2.0,2
204,terlipressin,2,1,True,0.0,0.0,2
205,tirzepatide,0,0,True,2.0,2.0,0
209,vonoprazan,0,0,True,0.0,0.0,0
210,vutrisiran,0,0,True,0.0,1.0,0
214,idecabtagene vicleucel,0,0,False,1.0,2.0,0
215,lisocabtagene maraleucel,0,0,True,0.0,0.0,0
217,amivantamabvmjw,2,0,False,0.0,0.0,2
219,asciminib,0,0,True,2.0,0.0,0
220,asparaginaseerwiniachrysanthemi,0,1,True,1.0,2.0,1
221,atogepant,0,1,True,0.0,2.0,1
224,belumosudil,0,0,True,0.0,2.0,0
227,casimersen,0,0,True,0.0,1.0,0
228,dasiglucagon,0,0,True,0.0,0.0,0
229,difelikefalin,0,0,False,0.0,2.0,0
230,dostarlimab-gxly,0,0,False,0.0,0.0,0
235,finerenone,3,1,True,2.0,0.0,3
237,ibrexafungerp,0,0,True,1.0,3.0,0
238,inclisiran,3,1,True,0.0,0.0,3
239,infigratinib,3,2,True,0.0,0.0,3
240,lonapegsomatropin-tcgd,0,0,False,0.0,0.0,0
241,loncastuximab tesirine-lpyl,0,0,False,1.0,1.0,0
242,maralixibat,0,0,True,0.0,0.0,0
243,maribavir,3,1,True,1.0,0.0,3
302,remimazolam,0,1,True,2.0,2.0,1
313,tazemetostat,0,0,True,0.0,0.0,0
332,enfortumabvedotinejfv,0,0,False,1.0,0.0,0
333,entrectinib,3,1,True,1.0,2.0,3
334,erdafitinib,0,0,True,2.0,0.0,0
