drug_id,n_pretrial
444,4
525,21
415,0
25270,3
392,5
25089,0
74,0
25240,0
25190,0
25146,117
346,0
25237,79
25061,272
25078,152
221,0
377,753
432,33
25112,0
209,0
25132,0
25068,824
367,6
445,5
25175,0
25121,0
25320,0
124,0
25106,1
152,0
410,0
116,0
25139,315
25065,50
35,0
133,0
25251,671
238,15
500,11
25122,0
494,8
12,2
357,48
25133,130
22,11
99,1
388,0
41,0
25297,0
25069,1397
428,3
538,12
414,1
344,5
205,0
215,0
195,8
25090,0
25060,2864
355,0
347,0
439,14
25161,1
506,13
145,0
25179,198
25109,537
435,6
375,0
451,0
25162,0
521,4
25062,1779
157,2
17,0
237,0
25241,0
25181,0
365,0
366,0
25305,481
25306,9
115,0
457,70
219,0
155,2
25151,0
25138,142
69,0
82,9
361,2
25309,500
25213,10312
117,0
25071,0
25260,0
25156,60
25072,1129
58,0
30,0
25183,69
25261,37
25177,0
7,81
25216,3660
25262,316
89,0
25310,0
96,17
393,0
25066,549
25312,185
374,10
434,0
25136,0
25313,0
25083,0
518,7
25186,0
149,1
240,0
25152,0
25317,0
387,7
450,0
25101,0
194,0
25319,0
25165,185
25322,0
454,16
187,0
101,0
25110,1
25268,24
230,0
25254,0
351,34
368,0
25324,187
334,0
381,1
25137,77
60,17
156,0
25326,0
25327,1
44,0
539,2
179,2
25070,1510
25275,12
25076,3669
386,32
242,0
455,0
25331,119
228,0
25168,0
25081,1207
25223,804
25191,93
313,0
364,0
85,0
25063,1003
25128,0
449,5
427,10
25224,56
130,2
25084,521
146,0
25163,0
353,2
139,0
14,0
198,0
185,41
87,2
25273,2
514,22
25333,2
25334,773
191,2
25335,0
333,49
78,0
25298,0
25113,343
431,0
128,0
127,0
25342,0
383,1
135,0
25336,0
86,0
25142,40
401,16
399,1
25340,0
536,12
528,16
25250,0
402,28
25232,0
154,0
174,0
378,0
25129,371
193,0
356,23
302,4
425,0
25079,107
182,1
106,0
188,0
214,0
243,39
25283,0
25284,0
25115,0
394,0
379,3
350,0
25111,0
158,2
510,71
121,0
382,2
348,0
20,0
438,19
220,0
25120,0
332,0
25303,6382
336,11
25295,0
360,3
529,4
143,1
67,0
397,0
126,0
68,0
380,12
25160,1230
352,0
178,4
25239,58
65,1
25124,0
199,2
430,5
189,0
25285,0
530,0
175,0
25271,0
25206,0
136,1
180,0
25316,0
224,0
25184,498
25229,0
391,44
160,0
25279,2
342,0
25289,5
25123,1
358,12
229,0
25288,0
33,0
9,0
459,23
25269,340
210,0
123,1
71,0
163,6
200,1
18,0
6,2
520,4
138,20
90,0
426,7
423,6
142,1
25263,0
165,8
105,0
403,0
395,8
92,0
25119,0
398,0
162,0
25209,4
25228,0
140,2
122,0
167,0
204,27
25182,1461
25176,0
363,1
385,0
25108,1
150,20
166,0
148,0
25328,0
411,1
120,0
235,77
25131,0
241,0
72,32
25164,468
239,23
183,0
100,0
25192,1
25220,0
42,2
61,0
34,0
442,56
125,0
25173,0
25221,0
94,1
217,0
413,61
25243,5
25145,374
25225,0
227,0
341,1
458,2
66,0
25253,0
523,101
25104,0
25144,1
25105,2
25087,16
