highest_phase,bucket,n_programs
1,phase1_stall,20353
1,commercial_strategic,3434
1,unclassified_termination,1294
1,efficacy,654
1,enrollment_operational,376
1,safety,179
1,planned,176
1,regulatory_admin,159
1,pk_pd,75
1,covid,54
1,competitive_landscape,54
1,manufacturing_supply,33
2,ph2_stall,10620
2,commercial_strategic,2161
2,unclassified_termination,1025
2,efficacy,813
2,enrollment_operational,771
2,covid,214
2,regulatory_admin,176
2,safety,116
2,planned,112
2,competitive_landscape,82
2,manufacturing_supply,38
2,pk_pd,11
3,silent_efficacy_ph3,8821
3,commercial_strategic,1308
3,efficacy,649
3,unclassified_termination,510
3,enrollment_operational,393
3,regulatory_admin,166
3,planned,105
3,covid,68
3,safety,62
3,competitive_landscape,58
3,manufacturing_supply,11
3,pk_pd,2
