pmid,year
24068962,2013
41850335,2026
34607834,2021
30456811,2019
27899376,2017
29274321,2018
26546613,2016
22479202,2012
33831438,2021
26634245,2015
36539420,2022
23727859,2013
29748315,2018
31763980,2019
34746714,2021
27569725,2016
30254083,2018
35173190,2022
38811844,2024
26433129,2016
40316537,2025
31015462,2019
37653029,2023
33536424,2021
31669095,2020
34076728,2021
39528826,2024
26098869,2015
33532862,2021
24816252,2014
23603763,2013
22286219,2012
34753499,2021
19966805,2010
27864402,2017
33239696,2020
31089300,2019
28212542,2017
34214102,2021
41912496,2026
32723749,2020
29029846,2017
26488411,2015
38872215,2024
28041642,2017
36193934,2022
39384777,2024
23969696,2013
30535121,2019
36802703,2023
35192695,2022
22885922,2012
27899403,2017
30367059,2018
36324656,2022
25705162,2014
32916098,2020
32210231,2020
36470867,2022
41238958,2025
20864672,2010
36872133,2023
27577874,2016
34116867,2021
40360795,2025
37467357,2024
38409652,2024
30019117,2018
34045744,2021
29343764,2018
32606422,2020
40075078,2025
33287642,2020
38509478,2024
27197191,2016
23291587,2013
36093044,2022
31551469,2019
38191017,2024
25028398,2015
31043758,2019
35999217,2022
32808324,2020
35078996,2022
38776927,2024
33479212,2021
39948438,2025
41766532,2026
40195560,2025
30323354,2018
23417110,2013
38429522,2024
18311140,2008
20062060,2010
33549134,2021
28794112,2017
33693786,2021
29459680,2018
27005778,2016
18978792,2008
39237691,2024
34743297,2022
30659681,2019
26377243,2015
30177863,2018
36828809,2023
34211149,2021
27618452,2016
38627641,2024
17952075,2007
22561518,2012
33385400,2021
38622589,2024
37384397,2023
36653534,2023
35115689,2022
37770635,2023
33619380,2021
27207532,2016
34002096,2021
33888908,2021
34586374,2021
34877740,2022
35446358,2022
31701892,2019
39107874,2025
28346444,2017
42045633,2026
25147783,2014
42109742,2026
26833098,2016
36267918,2022
29483656,2018
27506219,2017
35121771,2022
41406505,2026
26390057,2015
21907864,2011
30643251,2019
40038546,2025
34103634,2021
19915572,2009
23696881,2013
30804560,2019
28820441,2017
31036433,2019
32439900,2020
28232668,2017
41325371,2025
35115687,2022
32603185,2020
31152163,2019
24386095,2013
20872241,2011
28429243,2017
30993211,2019
41810385,2026
38116116,2023
32882024,2021
34837083,2022
34493870,2021
29531354,2018
22293688,2012
34446064,2021
36587059,2022
33875891,2021
42056605,2026
33067605,2020
28334935,2017
34582791,2021
34404248,2022
39414775,2024
29083406,2017
38434247,2023
33204752,2020
36738649,2023
30552108,2019
36539618,2023
37907536,2023
32341527,2020
29497042,2018
33692100,2021
30805717,2019
34626176,2021
32493714,2020
21124955,2010
20139978,2010
34957435,2021
36333282,2022
34906840,2022
20802025,2010
37544299,2023
30226566,2018
34128465,2021
29083408,2017
31676865,2019
22693459,2012
28537254,2017
26482879,2015
25500335,2015
30285260,2019
22745009,2012
30188897,2018
20159113,2010
40593539,2025
26690388,2015
39904976,2025
31070104,2019
37262302,2023
35942816,2023
30643255,2019
38494474,2024
39548300,2024
37291194,2023
38277453,2024
32573913,2020
23471985,2013
34050765,2021
27073872,2016
36357675,2022
42069741,2026
34031191,2021
24143190,2013
26053186,2015
30224653,2018
21943158,2011
38710707,2024
34737440,2021
34337532,2021
38965376,2024
38368726,2024
35180297,2022
39823331,2025
37069360,2023
26366553,2015
28714974,2017
20858683,2010
37024583,2023
26621817,2015
20062063,2010
38412862,2024
29273806,2018
20167578,2010
36672889,2023
31607149,2019
32059762,2020
21102463,2010
30410027,2018
