dimension,cutoff,population,rs,lo,hi,n_support,n_not,pct_appr_support,pct_appr_not
Mechanistic literature (line_b),raw (any date),full_cohort,2.07,1.89,2.28,5561,5063,22.9,11.0
Mechanistic literature (line_b),raw (any date),scored_subset,0.44,0.31,0.72,5561,21,22.9,52.4
Mechanistic literature (line_b),clean_strict (pre-first-trial),full_cohort,1.55,1.41,1.69,2343,8281,23.8,15.4
Mechanistic literature (line_b),clean_strict (pre-first-trial),scored_subset,1.06,0.96,1.17,2343,3239,23.8,22.4
Mechanistic literature (line_b),clean_loose (pre-last-trial),full_cohort,1.72,1.58,1.87,3194,7430,24.4,14.2
Mechanistic literature (line_b),clean_loose (pre-last-trial),scored_subset,1.15,1.04,1.27,3194,2388,24.4,21.2
Cell literature (line_c),raw (any date),full_cohort,2.05,1.88,2.24,4815,5809,24.0,11.7
Cell literature (line_c),raw (any date),scored_subset,1.4,1.2,1.67,4815,767,24.0,17.1
Cell literature (line_c),clean_strict (pre-first-trial),full_cohort,1.71,1.56,1.87,1894,8730,26.1,15.3
Cell literature (line_c),clean_strict (pre-first-trial),scored_subset,1.22,1.11,1.34,1894,3688,26.1,21.4
Cell literature (line_c),clean_loose (pre-last-trial),full_cohort,1.81,1.66,1.97,2689,7935,25.9,14.3
Cell literature (line_c),clean_loose (pre-last-trial),scored_subset,1.28,1.16,1.4,2689,2893,25.9,20.3
Animal literature (line_d),raw (any date),full_cohort,1.94,1.79,2.12,4503,6121,23.9,12.3
Animal literature (line_d),raw (any date),scored_subset,1.25,1.1,1.43,4503,1079,23.9,19.2
Animal literature (line_d),clean_strict (pre-first-trial),full_cohort,1.41,1.27,1.55,1743,8881,22.8,16.2
Animal literature (line_d),clean_strict (pre-first-trial),scored_subset,0.98,0.88,1.09,1743,3839,22.8,23.1
Animal literature (line_d),clean_loose (pre-last-trial),full_cohort,1.63,1.5,1.78,2510,8114,24.5,15.0
Animal literature (line_d),clean_loose (pre-last-trial),scored_subset,1.12,1.02,1.24,2510,3072,24.5,21.8
PD literature (line_e),raw (any date),full_cohort,2.31,2.14,2.51,3661,6963,27.5,11.9
PD literature (line_e),raw (any date),scored_subset,1.89,1.69,2.15,3661,1921,27.5,14.5
PD literature (line_e),clean_strict (pre-first-trial),full_cohort,1.78,1.62,1.96,1507,9117,27.7,15.5
PD literature (line_e),clean_strict (pre-first-trial),scored_subset,1.3,1.17,1.43,1507,4075,27.7,21.3
PD literature (line_e),clean_loose (pre-last-trial),full_cohort,2.09,1.93,2.27,2086,8538,29.7,14.2
PD literature (line_e),clean_loose (pre-last-trial),scored_subset,1.56,1.42,1.71,2086,3496,29.7,19.0
