cite,year
10818451,2000.0
10899774,2000.0
11437236,2001.0
11438690,2001.0
11572661,2001.0
115955,1979.0
11595518,2001.0
11607032,2001.0
12595455,2003.0
12642013,2003.0
12819487,2003.0
12851305,2003.0
12861475,2003.0
14633404,2003.0
14675194,2003.0
14730506,2004.0
15073159,2004.0
15616950,2004.0
15639548,2005.0
15757437,2005.0
15829966,2005.0
15950009,2005.0
16049183,2005.0
16111635,2005.0
16123266,2005.0
16166375,2005.0
16267836,2006.0
16358218,2005.0
16551255,2006.0
16751771,2006.0
16807441,2006.0
16818370,2006.0
16859479,2006.0
16875676,2006.0
17172841,2006.0
17463250,2007.0
17594192,2007.0
17881922,2007.0
1791,1975.0
18243101,2008.0
18312365,2008.0
18493136,2008.0
18555777,2008.0
18622706,2009.0
18641636,2008.0
19043403,2008.0
19234457,2009.0
19252480,2009.0
19380832,2009.0
19421193,2009.0
19479657,2009.0
19737086,2010.0
19935646,2009.0
20193018,2010.0
20465538,2010.0
20466884,2010.0
20613716,2010.0
20798282,2010.0
20810034,2010.0
21122682,2010.0
21131972,2010.0
21171673,2010.0
21248163,2011.0
21251613,2011.0
21261881,2008.0
21423189,2011.0
216442,1979.0
21708254,2011.0
21886162,2011.0
21963238,2011.0
22002720,2011.0
22009145,2011.0
22182585,2011.0
22201892,2012.0
22201972,2012.0
22237024,2012.0
22362199,2012.0
22382862,2012.0
22389870,2011.0
22421880,2012.0
22440736,2012.0
22449286,2012.0
22454070,2012.0
22479748,2011.0
22537441,2012.0
22711836,2012.0
22945592,2012.0
22974452,2009.0
23118055,2012.0
23392097,2013.0
23636326,2013.0
23663951,2013.0
23793040,2013.0
23903773,2013.0
24138928,2013.0
24185512,2013.0
24201053,2013.0
24298022,2013.0
24336569,2013.0
24366743,2013.0
24491087,2014.0
24526417,2014.0
24548887,2014.0
24662877,2014.0
24667139,2014.0
24705254,2014.0
24753536,2014.0
24819803,2014.0
24897292,2014.0
25097020,2014.0
25199069,2014.0
25264305,2014.0
25282448,2014.0
25329199,2014.0
25384187,2014.0
25476604,2014.0
25484091,2014.0
25560470,2015.0
25594174,2015.0
25619642,2015.0
25643296,2015.0
25725213,2015.0
25916522,2015.0
25938603,2015.0
25982860,2015.0
26000093,2015.0
26104205,2014.0
26187859,2015.0
26228524,2015.0
26235949,2015.0
26287237,2015.0
26308095,2015.0
26431948,2015.0
26515624,2015.0
26735013,2016.0
26832811,2015.0
26880094,2016.0
26888118,2016.0
26966515,2016.0
27338324,2016.0
27378404,2016.0
27454297,2016.0
27571407,2016.0
27595393,2016.0
27663877,2016.0
27669650,2016.0
27798603,2016.0
27874067,2016.0
27897114,2017.0
27987249,2017.0
28071651,2017.0
28077865,2017.0
28158456,2017.0
28266551,2017.0
28324674,2017.0
28339990,2017.0
28392945,2017.0
28408481,2017.0
28424376,2017.0
28577457,2017.0
28636641,2017.0
28666118,2017.0
28710129,2017.0
28710366,2017.0
28723547,2017.0
28793718,2015.0
28851078,2017.0
28923829,2017.0
28950537,2017.0
29082727,2017.0
29101107,2018.0
29129898,2017.0
29233862,2017.0
29254698,2017.0
29280746,2017.0
29320635,2018.0
29464559,2018.0
29478602,2018.0
29533322,2018.0
29599184,2018.0
29632149,2018.0
29760062,2018.0
29859229,2018.0
29868596,2018.0
29906449,2018.0
29930712,2018.0
30087598,2018.0
30093609,2018.0
30100756,2018.0
30115704,2018.0
30201856,2018.0
30207556,2018.0
30232695,2018.0
30259317,2018.0
30266155,2018.0
30273516,2018.0
30366928,
30390817,2018.0
30510207,2018.0
30518381,2018.0
30576679,2018.0
30619090,2018.0
30676821,2019.0
30684503,2019.0
30725891,2026.0
30743138,2019.0
30787149,2019.0
30799503,2019.0
30834543,2019.0
30854869,2019.0
30926743,2019.0
30930152,2019.0
30968781,2019.0
30975570,2019.0
30989321,2019.0
31024205,2019.0
31037463,2019.0
31106446,2019.0
31118354,2019.0
31164862,2019.0
31316009,2019.0
31456177,2019.0
31505066,2019.0
31520090,2019.0
31529712,2019.0
31560168,2019.0
31563086,2019.0
31563646,2019.0
31575852,2019.0
31588529,2019.0
31591304,2019.0
31602636,2019.0
31655651,2019.0
31655771,2019.0
31657882,2019.0
31699947,2019.0
31740829,2019.0
31756367,2019.0
31780747,2019.0
31810665,2019.0
31814859,2019.0
31826781,2020.0
32009883,2020.0
32040934,2020.0
32050611,2020.0
32086744,2020.0
32089221,2019.0
32100250,2020.0
32153397,2020.0
32167903,2020.0
32238876,2020.0
32246710,2020.0
32278352,2020.0
32284348,2020.0
32361914,2020.0
32392548,2020.0
32396843,2020.0
32472305,2020.0
32546807,2019.0
32565351,2020.0
32591699,
32598862,2020.0
32661345,2020.0
32723346,2020.0
32729746,2020.0
32747667,2020.0
32760052,2020.0
32827854,2020.0
32838583,2020.0
32884999,2019.0
32894510,2020.0
32894511,2020.0
32962123,2020.0
33035828,2020.0
33070309,2020.0
33077936,2020.0
33181402,2020.0
33241206,2020.0
33305616,2020.0
33311467,2020.0
33324135,2020.0
33372235,2021.0
33388373,2020.0
33404089,2021.0
33407254,2021.0
33437249,2021.0
33531663,2021.0
33549326,2021.0
33593593,2021.0
33619794,2021.0
33637688,2021.0
33638809,2021.0
33643838,2021.0
33693079,2019.0
33700722,1894.0
33710069,2021.0
33728947,2021.0
33757437,2021.0
33809897,2021.0
33827975,2021.0
33836254,2021.0
33849279,2021.0
33862687,2021.0
33919674,2021.0
33931134,2021.0
33957872,2021.0
33972778,2021.0
33986610,2021.0
34052813,2021.0
34073825,2021.0
34092035,2021.0
34209913,2021.0
34224692,2021.0
34234279,2021.0
34349762,2021.0
34408570,2021.0
34414698,2021.0
34464477,2021.0
34497589,2021.0
34500047,2021.0
34518650,2021.0
34528455,2021.0
34548968,2021.0
34563360,2021.0
34565579,2021.0
34628273,2021.0
34670896,2021.0
34704087,2021.0
34757849,2021.0
34774343,2021.0
34777951,2021.0
34912086,2021.0
34937915,2021.0
34957948,2022.0
35031766,2022.0
35039149,2022.0
35053328,2022.0
35083862,2022.0
35132413,2022.0
35149821,
35165961,2022.0
35167762,2022.0
35195876,2022.0
35217787,2022.0
35228717,2022.0
35245456,2022.0
35245556,2022.0
35256838,2022.0
35262245,2022.0
35305869,2022.0
35353266,2022.0
35404740,2022.0
35419018,2022.0
35430546,2022.0
35482509,2022.0
35534721,2022.0
35589764,2022.0
35591852,2022.0
35609014,2022.0
35633570,2022.0
35649821,2022.0
35652325,2022.0
35667159,2022.0
35704476,2022.0
35725948,2022.0
35751696,2022.0
