,aOR,p,ci_lo,ci_hi
Intercept,0.11907176231327767,3.8200537182983745e-15,0.0700444161407547,0.20241562941860694
C(mod3)[T.other],0.8663318037736571,0.5358356851002766,0.5500605624901056,1.3644511993953736
C(mod3)[T.small_molecule],0.2722539983553967,7.198200683852011e-28,0.215661241831862,0.34369754616496634
gen_strong,1.9331787193026606,0.0012321531482926537,1.2960856045517206,2.8834360536372596
cell_ess,0.9205271851262459,0.8684572068481052,0.34549230216819077,2.4526459583575244
animal,1.3067552434488294,0.21490634156972888,0.8561766812782401,1.9944589751400523
tract_sm,1.6304872101770451,0.007372160818781227,1.140294847278997,2.331404503751536
loeuf_lo,0.4724888898691215,0.0017921462519522248,0.2951357447356234,0.756417191180058
is_onc,0.9545657162570476,0.8682062616065327,0.5511667612995684,1.6532123680768915
gen_strong:is_onc,4.365441283896082,3.480147521816471e-08,2.585745951248144,7.370050253369009
cell_ess:is_onc,0.07903252830149003,9.962478839057027e-05,0.02201321755710977,0.28374500517796686
animal:is_onc,1.063618317769649,0.8309744807971747,0.6037156667293674,1.8738687568336172
tract_sm:is_onc,0.44341371967683596,0.0031418036912738215,0.25848185382345423,0.7606558212474684
loeuf_lo:is_onc,3.7103691083418897,2.9971289719970577e-05,2.004557841083104,6.867768361674851
logprog,6.9808497070046345,8.163632461349279e-35,5.123019050117478,9.512410973890326
