sponsor,n_originated,n_approved,success_pct
Sanofi,362,9,2.5
GlaxoSmithKline (GSK),356,8,2.2
Novartis,322,19,5.9
AstraZeneca,244,18,7.4
Pfizer,236,21,8.9
Merck (MSD),229,6,2.6
Johnson & Johnson (Janssen),210,9,4.3
Roche / Genentech,162,16,9.9
AbbVie,160,8,5.0
Takeda,150,9,6.0
Bristol Myers Squibb,112,11,9.8
Bayer,112,5,4.5
Gilead,95,10,10.5
Eli Lilly,95,15,15.8
Jiangsu Hengrui,87,0,0.0
Colgate Palmolive,84,0,0.0
Boehringer Ingelheim,73,4,5.5
Amgen,73,9,12.3
Novo Nordisk,64,5,7.8
Chiesi,63,3,4.8
Regeneron,59,7,11.9
Sun Pharmaceutical,59,2,3.4
EMS,59,0,0.0
Hanmi Pharmaceutical Company,57,0,0.0
Astellas,57,5,8.8
Otsuka,52,3,5.8
ViiV Healthcare,47,1,2.1
Moderna,42,0,0.0
Innovent,42,0,0.0
Seqirus,41,0,0.0
Ferring Pharmaceuticals,40,1,2.5
Haisco Pharmaceutical Group Co,39,0,0.0
Daewoong Pharmaceutical Co. LTD.,38,0,0.0
Sino Biopharm / Chia Tai Tianqing,38,1,2.6
Biogen,36,2,5.6
Novavax,35,0,0.0
Incyte,34,2,5.9
Merck KGaA,34,3,8.8
Actavis Inc.,33,0,0.0
ImmunityBio,33,1,3.0
Vertex,32,5,15.6
LEO Pharma,32,2,6.2
Chong Kun Dang Pharmaceutical,32,0,0.0
Daiichi Sankyo,29,3,10.3
UCB,29,5,17.2
Sinovac Biotech Co,28,0,0.0
Galderma R&D,27,0,0.0
BioNTech,27,0,0.0
Bausch Health / Valeant,26,1,3.8
Eisai,26,3,11.5
Pearl Therapeutics,25,0,0.0
Grifols,24,0,0.0
Ipsen,24,2,8.3
Anhui Zhifei Longcom Biologic Pharmacy Co,23,0,0.0
PT Bio Farma,22,0,0.0
Boryung Pharmaceutical Co,22,0,0.0
Aclaris Therapeutics,22,0,0.0
Addpharma Inc.,21,0,0.0
Eurofarma Laboratorios,21,0,0.0
Alcon Research,21,0,0.0
Tanabe Pharma Corporation,21,0,0.0
Glaukos Corporation,20,0,0.0
Aldeyra Therapeutics,20,0,0.0
Laboratorios Silanes S.A. de C.V.,20,0,0.0
Dr. Reddy's Laboratories,20,0,0.0
MGC Pharmaceuticals d.o.o,20,0,0.0
Jazz Pharmaceuticals,19,2,10.5
Neurocrine Biosciences,19,3,15.8
Yuhan Corporation,19,0,0.0
Organon and Co,19,0,0.0
Ionis,19,3,15.8
Teva Branded Pharmaceutical Products R&D,19,0,0.0
Padagis LLC,18,0,0.0
CSL Behring,18,2,11.1
BeiGene / BeOne,18,1,5.6
