target_id,symbol,ensembl_id
3,GUCY1A1,ENSG00000164116
4,PCSK9,ENSG00000169174
5,HMGCR,ENSG00000113161
6,GUCY1B1,ENSG00000061918
9,PDE3A,ENSG00000172572
10,PDE5A,ENSG00000138735
14,CACNA1C,ENSG00000151067
15,SORT1,ENSG00000134243
16,P2RY12,ENSG00000169313
17,PLG,ENSG00000122194
18,PTGS2,ENSG00000073756
20,PTGS1,ENSG00000095303
23,ABCA1,ENSG00000165029
24,LPA,ENSG00000198670
25,ACE,ENSG00000159640
27,APOB,ENSG00000084674
28,F10,ENSG00000126218
33,PDE4B,ENSG00000184588
40,F2,ENSG00000180210
42,ITGB3,ENSG00000259207
43,PDE3B,ENSG00000152270
48,SERPINA1,ENSG00000197249
51,SERPINH1,ENSG00000149257
52,PDE4D,ENSG00000113448
59,EDNRA,ENSG00000151617
68,PDE9A,ENSG00000160191
69,PDE4C,ENSG00000105650
73,SLC29A1,ENSG00000112759
77,IL6R,ENSG00000160712
84,ADRB1,ENSG00000043591
89,ABO,ENSG00000175164
98,SMAD7,ENSG00000101665
102,PRKCE,ENSG00000171132
104,FLT1,ENSG00000102755
106,APOC3,ENSG00000110245
110,SERPINC1,ENSG00000117601
111,ADRB2,ENSG00000169252
116,PARP12,ENSG00000059378
119,ATP2B1,ENSG00000070961
129,PNPLA3,ENSG00000100344
132,PPARG,ENSG00000132170
137,PPARA,ENSG00000186951
142,NGF,ENSG00000134259
145,TUBA3C,ENSG00000198033
146,BMAL1,ENSG00000133794
148,FDX1,ENSG00000137714
152,NBEAL1,ENSG00000144426
155,NAT2,ENSG00000156006
159,ATP4A,ENSG00000105675
161,TGFB1,ENSG00000105329
165,ATP4B,ENSG00000186009
174,C1S,ENSG00000182326
199,CTRB1,ENSG00000168925
207,HDAC9,ENSG00000048052
211,GLP1R,ENSG00000112164
213,VWF,ENSG00000110799
222,VEGFA,ENSG00000112715
223,NPC1L1,ENSG00000015520
230,ADORA2A,ENSG00000128271
241,PIK3CG,ENSG00000105851
247,C5,ENSG00000106804
259,TUBB,ENSG00000196230
261,OPRM1,ENSG00000112038
270,NFAT5,ENSG00000102908
281,TUBB3,ENSG00000258947
282,TUBA1B,ENSG00000123416
283,TUBB4A,ENSG00000104833
290,NOS3,ENSG00000164867
308,SCN5A,ENSG00000183873
320,SCN4A,ENSG00000007314
327,CFTR,ENSG00000001626
346,ERBB4,ENSG00000178568
349,F9,ENSG00000101981
353,F11,ENSG00000088926
358,GABRA4,ENSG00000109158
360,GABRQ,ENSG00000268089
361,GABRG1,ENSG00000163285
362,GABRA5,ENSG00000186297
363,GABRD,ENSG00000187730
364,GABRP,ENSG00000094755
365,GABRB3,ENSG00000166206
366,GABRA2,ENSG00000151834
367,GABRA1,ENSG00000022355
371,PCSK6,ENSG00000140479
373,TDRKH,ENSG00000182134
374,CACNB2,ENSG00000165995
379,ATXN2,ENSG00000204842
381,CXCL8,ENSG00000169429
382,ADORA3,ENSG00000282608
383,ADORA1,ENSG00000163485
384,DHODH,ENSG00000102967
385,MPDZ,ENSG00000107186
398,PTK2,ENSG00000169398
406,IL6,ENSG00000136244
418,MAPT,ENSG00000186868
419,ANK2,ENSG00000145362
427,MAPK11,ENSG00000185386
442,GLRA1,ENSG00000145888
443,GLRB,ENSG00000109738
446,DHX36,ENSG00000174953
448,SLC22A4,ENSG00000197208
481,OSM,ENSG00000099985
515,NDUFB8,ENSG00000166136
572,F3,ENSG00000117525
613,AR,ENSG00000169083
614,GCKR,ENSG00000084734
620,AGTR1,ENSG00000144891
624,CXCR4,ENSG00000121966
635,CALCRL,ENSG00000064989
638,ABCC8,ENSG00000006071
639,GCK,ENSG00000106633
644,TNF,ENSG00000232810
654,SLC5A2,ENSG00000140675
660,REN,ENSG00000143839
669,MTOR,ENSG00000198793
670,ESR1,ENSG00000091831
706,ABR,ENSG00000159842
712,ALOX5AP,ENSG00000132965
717,VKORC1,ENSG00000167397
718,CNR1,ENSG00000118432
723,TRPA1,ENSG00000104321
727,INSR,ENSG00000171105
729,ESR2,ENSG00000140009
753,MKNK1,ENSG00000079277
767,MC4R,ENSG00000166603
784,TLR4,ENSG00000136869
786,LHCGR,ENSG00000138039
792,SLCO1B1,ENSG00000134538
805,DMP1,ENSG00000152592
821,HTT,ENSG00000197386
823,SCNN1G,ENSG00000166828
831,SOD2,ENSG00000291237
832,DDR2,ENSG00000162733
836,NLRP3,ENSG00000162711
837,RPS6KA1,ENSG00000117676
872,TOP1,ENSG00000198900
875,OPRL1,ENSG00000125510
891,TLR5,ENSG00000187554
903,INO80,ENSG00000128908
908,GRAMD1C,ENSG00000178075
933,NQO1,ENSG00000181019
939,DPT,ENSG00000143196
940,PAH,ENSG00000171759
956,PLA2G10,ENSG00000069764
1030,CYP17A1,ENSG00000148795
1040,NR3C1,ENSG00000113580
1059,LEPR,ENSG00000116678
1071,MPO,ENSG00000005381
1082,SOST,ENSG00000167941
1121,SELP,ENSG00000174175
1129,AOPEP,ENSG00000148120
