symbol,pan_essential,release,release_date
AAMP,1,20Q1,2020-05-07
ATF4,1,20Q1,2020-05-07
ATP2A2,1,20Q1,2020-05-07
ATR,1,20Q1,2020-05-07
AURKA,1,20Q1,2020-05-07
BRD8,1,20Q1,2020-05-07
BUB1,1,20Q1,2020-05-07
CDC7,1,20Q1,2020-05-07
CDK7,1,20Q1,2020-05-07
CDK9,1,20Q1,2020-05-07
COG8,1,20Q1,2020-05-07
CRLS1,1,20Q1,2020-05-07
CYP2A13,1,20Q1,2020-05-07
DCTN3,1,20Q1,2020-05-07
DHFR,1,20Q1,2020-05-07
DHODH,1,20Q1,2020-05-07
DHX36,1,20Q1,2020-05-07
DKC1,1,20Q1,2020-05-07
DNMT1,1,20Q1,2020-05-07
DPAGT1,1,20Q1,2020-05-07
EEF1G,1,20Q1,2020-05-07
EEF2,1,20Q1,2020-05-07
EIF4G2,1,20Q1,2020-05-07
FNTA,1,20Q1,2020-05-07
FOLR3,1,20Q1,2020-05-07
FXN,1,20Q1,2020-05-07
GMPS,1,20Q1,2020-05-07
HAMP,1,20Q1,2020-05-07
HCRTR1,1,20Q1,2020-05-07
HDAC3,1,20Q1,2020-05-07
HMGB1,1,20Q1,2020-05-07
HMGCR,1,20Q1,2020-05-07
HSF1,1,20Q1,2020-05-07
IFITM2,1,20Q1,2020-05-07
INO80,1,20Q1,2020-05-07
KCNA10,1,20Q1,2020-05-07
LPA,1,20Q1,2020-05-07
METAP2,1,20Q1,2020-05-07
MLST8,1,20Q1,2020-05-07
MRPL15,1,20Q1,2020-05-07
MRPL36,1,20Q1,2020-05-07
MTOR,1,20Q1,2020-05-07
MTREX,1,20Q1,2020-05-07
NANOG,1,20Q1,2020-05-07
NBEAL1,1,20Q1,2020-05-07
NCBP1,1,20Q1,2020-05-07
NDUFB8,1,20Q1,2020-05-07
PIK3R4,1,20Q1,2020-05-07
PLA2G10,1,20Q1,2020-05-07
POLA1,1,20Q1,2020-05-07
POLR3D,1,20Q1,2020-05-07
PPIA,1,20Q1,2020-05-07
PSMD1,1,20Q1,2020-05-07
PTK2,1,20Q1,2020-05-07
RPL28,1,20Q1,2020-05-07
RPSA,1,20Q1,2020-05-07
RPTOR,1,20Q1,2020-05-07
RRM1,1,20Q1,2020-05-07
SMN2,1,20Q1,2020-05-07
SOD1,1,20Q1,2020-05-07
SOD2,1,20Q1,2020-05-07
TAF8,1,20Q1,2020-05-07
TEN1,1,20Q1,2020-05-07
TFRC,1,20Q1,2020-05-07
TOMM20,1,20Q1,2020-05-07
TOP1,1,20Q1,2020-05-07
TOP2A,1,20Q1,2020-05-07
TPRKB,1,20Q1,2020-05-07
TUBA1B,1,20Q1,2020-05-07
TUBB,1,20Q1,2020-05-07
TXN,1,20Q1,2020-05-07
XPO1,1,20Q1,2020-05-07
