symbol,n_phenotypes,release,release_date
AADAC,9,16.0,2022-03-24
AAMP,2,16.0,2022-03-24
ABCA1,5,16.0,2022-03-24
ABCA2,2,16.0,2022-03-24
ABCC8,1,16.0,2022-03-24
ABCD1,0,16.0,2022-03-24
ABHD14B,0,16.0,2022-03-24
ABO,3,16.0,2022-03-24
ABRAXAS2,0,16.0,2022-03-24
ACADVL,1,16.0,2022-03-24
ACAT1,1,16.0,2022-03-24
ACAT2,6,16.0,2022-03-24
ACE,4,16.0,2022-03-24
ACHE,6,16.0,2022-03-24
ACKR3,5,16.0,2022-03-24
ACTA2,1,16.0,2022-03-24
ACTG1,3,16.0,2022-03-24
ADGRG7,4,16.0,2022-03-24
ADORA1,2,16.0,2022-03-24
ADORA2A,7,16.0,2022-03-24
ADRA2A,7,16.0,2022-03-24
ADRB2,9,16.0,2022-03-24
AGFG2,0,16.0,2022-03-24
AGTR2,0,16.0,2022-03-24
AHCYL1,6,16.0,2022-03-24
AIFM3,4,16.0,2022-03-24
ALAS1,2,16.0,2022-03-24
ALDH1A3,3,16.0,2022-03-24
ALDH1B1,1,16.0,2022-03-24
AMPD3,0,16.0,2022-03-24
ANGPTL3,8,16.0,2022-03-24
ANPEP,4,16.0,2022-03-24
AOC1,6,16.0,2022-03-24
AOPEP,3,16.0,2022-03-24
APLNR,4,16.0,2022-03-24
APP,7,16.0,2022-03-24
AQP3,12,16.0,2022-03-24
AQP9,3,16.0,2022-03-24
AREL1,2,16.0,2022-03-24
ATF4,6,16.0,2022-03-24
ATP1A4,1,16.0,2022-03-24
ATP2A1,1,16.0,2022-03-24
ATP2A2,4,16.0,2022-03-24
ATP2B1,8,16.0,2022-03-24
ATP6V0A1,6,16.0,2022-03-24
ATP6V1B1,1,16.0,2022-03-24
ATR,7,16.0,2022-03-24
AURKA,6,16.0,2022-03-24
AVPR1A,1,16.0,2022-03-24
BAAT,8,16.0,2022-03-24
BBS1,9,16.0,2022-03-24
BBS2,2,16.0,2022-03-24
BCKDHA,5,16.0,2022-03-24
BCL7A,3,16.0,2022-03-24
BDKRB1,5,16.0,2022-03-24
BLOC1S6,9,16.0,2022-03-24
BPI,0,16.0,2022-03-24
BRD8,1,16.0,2022-03-24
BUB1,2,16.0,2022-03-24
C1QA,4,16.0,2022-03-24
C3,0,16.0,2022-03-24
CACNA1B,9,16.0,2022-03-24
CACNA1C,10,16.0,2022-03-24
CACNA1I,6,16.0,2022-03-24
CACNA2D1,14,16.0,2022-03-24
CACNB2,5,16.0,2022-03-24
CALCB,7,16.0,2022-03-24
CALCR,2,16.0,2022-03-24
CASP2,8,16.0,2022-03-24
CAV2,3,16.0,2022-03-24
CCL17,1,16.0,2022-03-24
CCL26,4,16.0,2022-03-24
CCR3,8,16.0,2022-03-24
CD19,2,16.0,2022-03-24
CD300LD,1,16.0,2022-03-24
CD38,12,16.0,2022-03-24
CD5L,4,16.0,2022-03-24
CDC7,6,16.0,2022-03-24
CDK4,12,16.0,2022-03-24
CDK9,8,16.0,2022-03-24
CEACAM5,3,16.0,2022-03-24
CFAP97D1,1,16.0,2022-03-24
CFD,6,16.0,2022-03-24
CFH,1,16.0,2022-03-24
CFI,5,16.0,2022-03-24
CHEK2,0,16.0,2022-03-24
CHRNA7,3,16.0,2022-03-24
CLPP,38,16.0,2022-03-24
CNR1,6,16.0,2022-03-24
COG8,2,16.0,2022-03-24
COL13A1,0,16.0,2022-03-24
COL16A1,2,16.0,2022-03-24
COL9A2,14,16.0,2022-03-24
COL9A3,5,16.0,2022-03-24
COX6A1,0,16.0,2022-03-24
CP,7,16.0,2022-03-24
CPB1,2,16.0,2022-03-24
CPD,3,16.0,2022-03-24
CPT2,3,16.0,2022-03-24
CRLS1,1,16.0,2022-03-24
CRYBB3,2,16.0,2022-03-24
CSF1R,0,16.0,2022-03-24
CSF2RB,6,16.0,2022-03-24
CTSK,11,16.0,2022-03-24
CUL4A,11,16.0,2022-03-24
CX3CR1,3,16.0,2022-03-24
CXCR2,37,16.0,2022-03-24
CXCR4,7,16.0,2022-03-24
CYP17A1,20,16.0,2022-03-24
CYSLTR1,3,16.0,2022-03-24
DAPK3,4,16.0,2022-03-24
DCT,3,16.0,2022-03-24
DGUOK,5,16.0,2022-03-24
DHCR24,0,16.0,2022-03-24
DHFR,6,16.0,2022-03-24
DHODH,2,16.0,2022-03-24
DLX4,0,16.0,2022-03-24
DMD,13,16.0,2022-03-24
DMP1,4,16.0,2022-03-24
DNAH9,0,16.0,2022-03-24
DNTT,4,16.0,2022-03-24
DPP4,3,16.0,2022-03-24
DPYD,4,16.0,2022-03-24
DRD3,3,16.0,2022-03-24
DUSP26,0,16.0,2022-03-24
EDNRA,3,16.0,2022-03-24
EEF1D,15,16.0,2022-03-24
EFNA4,3,16.0,2022-03-24
EGFR,0,16.0,2022-03-24
EHHADH,0,16.0,2022-03-24
EIF4G2,9,16.0,2022-03-24
EPHB1,8,16.0,2022-03-24
EPHB2,2,16.0,2022-03-24
ERBB2,2,16.0,2022-03-24
ESR2,8,16.0,2022-03-24
ESRRA,8,16.0,2022-03-24
EZH2,0,16.0,2022-03-24
F10,3,16.0,2022-03-24
F2,9,16.0,2022-03-24
F7,5,16.0,2022-03-24
FDX1,3,16.0,2022-03-24
FGFR1,5,16.0,2022-03-24
FMO5,1,16.0,2022-03-24
FNTA,4,16.0,2022-03-24
FOLH1,1,16.0,2022-03-24
FOLR1,25,16.0,2022-03-24
FXN,3,16.0,2022-03-24
GABRA2,13,16.0,2022-03-24
GABRA5,0,16.0,2022-03-24
GART,3,16.0,2022-03-24
GATA2,10,16.0,2022-03-24
GATM,16,16.0,2022-03-24
GBE1,1,16.0,2022-03-24
GCGR,5,16.0,2022-03-24
GCK,6,16.0,2022-03-24
GCKR,3,16.0,2022-03-24
GDF15,0,16.0,2022-03-24
GHSR,0,16.0,2022-03-24
GLP1R,1,16.0,2022-03-24
GLRA2,7,16.0,2022-03-24
GLRB,8,16.0,2022-03-24
