scoring_function,scoring_version,cohort_definition,cutoff_date,n_ti_pairs,n_approved,n_failed,auc,auc_lo,auc_hi,brier,r10,p10,rs10,ece,notes
lightgbm_ta_oncology_v1,v1,ti_phase2plus_ta_oncology,,1370,362,1008,0.927,0.911,0.940,,,,4.92,,"Per-TA LightGBM 5-fold CV OOF, TA=oncology"
lightgbm_ablate_no_D_animal,v1,ti_phase2plus,,2611,741,1870,0.917,,,,,,,,"Leave-out=D_animal. Full AUC=0.917, delta=+0.0001"
lightgbm_v1,v1,ti_phase2plus,,2611,741,1870,0.917,0.904,0.926,0.108,0.343,0.973,4.70,0.068,"5-fold CV OOF, mean fold AUC=0.918"
lightgbm_ablate_no_C_cell,v1,ti_phase2plus,,2611,741,1870,0.916,,,,,,,,"Leave-out=C_cell. Full AUC=0.917, delta=-0.0008"
lightgbm_ablate_no_I_landscape,v1,ti_phase2plus,,2611,741,1870,0.916,,,,,,,,"Leave-out=I_landscape. Full AUC=0.917, delta=-0.0008"
lightgbm_ablate_no_H_safety,v1,ti_phase2plus,,2611,741,1870,0.915,,,,,,,,"Leave-out=H_safety. Full AUC=0.917, delta=-0.0011"
lightgbm_ablate_no_E_pd,v1,ti_phase2plus,,2611,741,1870,0.915,,,,,,,,"Leave-out=E_pd. Full AUC=0.917, delta=-0.0012"
lightgbm_ablate_no_B_mechanistic,v1,ti_phase2plus,,2611,741,1870,0.915,,,,,,,,"Leave-out=B_mechanistic. Full AUC=0.917, delta=-0.0018"
lightgbm_ablate_no_context,v1,ti_phase2plus,,2611,741,1870,0.912,,,,,,,,"Leave-out=context. Full AUC=0.917, delta=-0.0048"
ensemble_top3_v1,v1,ti_phase2plus,,2611,741,1870,0.909,0.895,0.920,0.115,0.327,0.927,4.37,0.099,"AUC-weighted ensemble: lightgbm_v1, randomforest_v1, rs_composite_calibrated_v1"
lightgbm_ablate_no_A_genetics,v1,ti_phase2plus,,2611,741,1870,0.893,,,,,,,,"Leave-out=A_genetics. Full AUC=0.917, delta=-0.0238"
randomforest_v1,v1,ti_phase2plus,,2611,741,1870,0.879,0.865,0.893,0.148,0.313,0.889,4.10,0.134,"5-fold CV OOF, mean fold AUC=0.880"
lightgbm_v1_timemachine,v1,ti_phase2plus_test_post_2021,2021-01-01,682,148,534,0.875,0.844,0.903,0.116,0.405,0.882,6.16,0.096,"Trained on pre-2021-01-01 T-I pairs (n=1656), tested on post-2021-01-01"
lightgbm_v2_time_cutoff_precedent,v2,ti_phase2plus_test_post_2019_time_cutoff_precedent,2019-01-01,1149,238,911,0.867,0.842,0.890,0.124,0.399,0.826,5.97,0.110,"Time-machine v2, variant=time_cutoff_precedent, cutoff=2019-01-01, train n=1189"
lightgbm_v2_time_cutoff_precedent,v2,ti_phase2plus_test_post_2021_time_cutoff_precedent,2021-01-01,682,148,534,0.865,0.825,0.905,0.123,0.412,0.897,6.33,0.103,"Time-machine v2, variant=time_cutoff_precedent, cutoff=2021-01-01, train n=1656"
lightgbm_v1_timemachine,v1,ti_phase2plus_test_post_2019,2019-01-01,1149,238,911,0.860,0.832,0.886,0.126,0.403,0.835,6.08,0.106,"Trained on pre-2019-01-01 T-I pairs (n=1189), tested on post-2019-01-01"
randomforest_v1_timemachine,v1,ti_phase2plus_test_post_2021,2021-01-01,682,148,534,0.857,0.820,0.884,0.135,0.358,0.779,5.04,0.143,"Trained on pre-2021-01-01 T-I pairs (n=1656), tested on post-2021-01-01"
lightgbm_v2_drop_landscape,v2,ti_phase2plus_test_post_2019_drop_landscape,2019-01-01,1149,238,911,0.852,0.821,0.882,0.129,0.403,0.835,6.08,0.115,"Time-machine v2, variant=drop_landscape, cutoff=2019-01-01, train n=1189"
lightgbm_ta_other_v1,v1,ti_phase2plus_ta_other,,1035,300,735,0.844,0.818,0.870,,,,4.41,,"Per-TA LightGBM 5-fold CV OOF, TA=other"
randomforest_v1_timemachine,v1,ti_phase2plus_test_post_2019,2019-01-01,1149,238,911,0.840,0.810,0.862,0.144,0.349,0.722,4.81,0.147,"Trained on pre-2019-01-01 T-I pairs (n=1189), tested on post-2019-01-01"
stacked_ph1_strict_v1,v3_robust,ti_phase1plus_strict,,13639,403,13236,0.838,0.813,0.860,0.018,0.605,0.179,13.81,0.012,"Phase 1+ strict cohort, stacked ensemble"
logreg_ph1_strict_v1,v3_robust,ti_phase1plus_strict,,13639,403,13236,0.837,0.810,0.862,0.108,0.608,0.180,13.95,0.257,"Phase 1+ strict cohort, LogReg calibrated"
logreg_strict_biologic_v1,v3_strict,ti_phase2plus_strict_modality_biologic,,762,136,626,0.832,0.778,0.872,,0.522,0.934,9.86,,"Per-modality LogReg 5-fold CV OOF on strict outcome, modality=biologic"
stacked_v1,v3_robust,ti_phase2plus_strict,,8035,403,7632,0.829,0.806,0.855,0.029,0.588,0.295,12.84,0.017,Level-1: LogReg + robust-LGB + RF; Level-2: LogReg meta on OOF; log-transformed counts.
logreg_strict_ablate_no_C_cell,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.829,,,,,,,,"Ablate C_cell, strict outcome, LogReg. Full AUC=0.828, delta=+0.0004"
logreg_strict_ablate_no_D_animal,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.829,,,,,,,,"Ablate D_animal, strict outcome, LogReg. Full AUC=0.828, delta=+0.0003"
logreg_strict_ablate_no_I_landscape,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.827,,,,,,,,"Ablate I_landscape, strict outcome, LogReg. Full AUC=0.828, delta=-0.0009"
logreg_strict_ablate_no_H_safety,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.827,,,,,,,,"Ablate H_safety, strict outcome, LogReg. Full AUC=0.828, delta=-0.0017"
logreg_strict_v1,v2_strict,ti_phase2plus_strict,,8035,403,7632,0.826,0.801,0.851,0.025,0.593,0.297,13.11,0.001,STRICT per-T-I approval — approved for THIS indication specifically. Fixes loose/loose ground-truth caveat.
logreg_strict_ablate_no_E_pd,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.826,,,,,,,,"Ablate E_pd, strict outcome, LogReg. Full AUC=0.828, delta=-0.0026"
stacked_final_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.825,0.797,0.849,0.018,0.603,0.178,13.67,0.013,"FINAL benchmark: Phase 1+ strict cohort, GroupKFold on target_id, stacked LogReg + robust-LGB + RF meta ensemble, log-transformed counts"
logreg_strict_small_molecule_v1,v3_strict,ti_phase2plus_strict_modality_small_molecule,,961,216,745,0.824,0.792,0.862,,0.421,0.948,6.56,,"Per-modality LogReg 5-fold CV OOF on strict outcome, modality=small_molecule"
logreg_final_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.822,0.796,0.851,0.119,0.600,0.177,13.53,0.268,"FINAL: LogReg L2, GroupKFold(target), Phase 1+ strict, log-transformed"
logreg_strict_ablate_no_B_mechanistic,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.822,,,,,,,,"Ablate B_mechanistic, strict outcome, LogReg. Full AUC=0.828, delta=-0.0064"
stacked_family_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.815,0.790,0.841,0.019,0.596,0.176,13.25,0.014,Stacked ensemble with family features. Held-out-target Ph1+ strict.
logreg_family_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.813,0.783,0.838,0.123,0.596,0.176,13.25,0.263,"LogReg + target-family one-hot + family x ClinGen interactions, Phase 1+ strict, GroupKFold on target"
logreg_family_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.813,0.783,0.838,0.123,0.596,0.176,13.25,0.263,"LogReg + target-family one-hot + family x ClinGen interactions, Phase 1+ strict, GroupKFold on target"
logreg_interactions_v1,v3_robust,ti_phase1plus_strict_holdout_target,,13639,403,13236,0.812,0.786,0.842,0.121,0.576,0.170,12.21,0.271,"LogReg L2 + interactions, Phase 1+ strict, GroupKFold"
logreg_strict_ablate_no_context,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.811,,,,,,,,"Ablate context, strict outcome, LogReg. Full AUC=0.828, delta=-0.0177"
logreg_l2_v1,v1,ti_phase2plus,,2611,741,1870,0.809,0.793,0.825,0.154,0.297,0.843,3.80,0.050,"5-fold CV OOF, mean fold AUC=0.809"
