year,center,drug_generic,drug_brand,sponsor,modality,target,indication,accelerated,breakthrough,fast_track,priority_review,orphan,first_in_class,nelson_tier,tier_evidence_url,source_url,notes
2025,CBER,prademagene zamikeracel,Zevaskyn,Abeona Therapeutics,ex_vivo_gene_therapy,COL7A1,Wounds in adults and pediatric patients with recessive dystrophic epidermolysis bullosa (RDEB),,TRUE,,,TRUE,TRUE,T1,https://www.omim.org/entry/226600,https://investors.abeonatherapeutics.com/press-releases/detail/303/u-s-fda-approves-zevaskyn-prademagene-zamikeracel,Autologous COL7A1 gene-corrected epidermal cell sheet; approved 2025-04-29; RMAT + Breakthrough + Orphan + Rare Pediatric Disease designations; nelson:Classic Mendelian
2025,CBER,revakinagene taroretcel-lwey,Encelto,Neurotech Pharmaceuticals,other_cell_therapy,CNTF,Idiopathic macular telangiectasia type 2 (MacTel),,,,,,TRUE,unknown,,https://www.cgtlive.com/view/top-fda-gene-cell-therapy-news-2025-year-end-recap,Allogeneic encapsulated cell therapy secreting CNTF into vitreous; approved 2025-03-06; first-ever therapy for MacTel
2025,CBER,zopapogene imadenovec-drba,Papzimeos,Precigen,other_cell_therapy,HPV6/HPV11,Recurrent respiratory papillomatosis (RRP) in adults,,,,,,TRUE,unknown,,https://www.cgtlive.com/view/fda-activity-recap-august-papillomatosis-gene-therapy-approval-eli-cel-labelling-update,Adenoviral vector-based immunotherapy targeting HPV 6/11 antigens; approved 2025-08-26; first therapy for RRP
2025,CDER,aceclidine,Vizz,LENZ Therapeutics,small_molecule,muscarinic_M3,Presbyopia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-31
2025,CDER,acoltremon,Tryptyr,Alcon,small_molecule,TRPM8,Signs and symptoms of dry eye disease,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-05-28
2025,CDER,aficamten,Myqorzo,Cytokinetics,small_molecule,MYH7,Symptomatic obstructive hypertrophic cardiomyopathy,FALSE,TRUE,,TRUE,TRUE,FALSE,T1,https://www.omim.org/entry/192600,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-19
2025,CDER,atrasentan,Vanrafia,Novartis,small_molecule,EDNRA,Reduce proteinuria in adults with primary IgA nephropathy at risk of rapid disease progression,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,T3,https://www.ebi.ac.uk/gwas/genes/EDNRA,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-04-02
2025,CDER,avutometinib and defactinib,Avmapki Fakzynja Co-Pack,Verastem Oncology,small_molecule,RAF/MEK+FAK,KRAS-mutated recurrent low-grade serous ovarian cancer after prior systemic therapy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,T2,https://www.omim.org/entry/190070,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-05-08
2025,CDER,brensocatib,Brinsupri,Insmed,small_molecule,CTSC,Non-cystic fibrosis bronchiectasis,FALSE,TRUE,,TRUE,TRUE,TRUE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-08-12
2025,CDER,clesrovimab-cfor,Enflonsia,Merck,mAb,RSV_F_protein,Prevent RSV lower respiratory tract disease in neonates and infants during first RSV season,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-06-09
2025,CDER,datopotamab deruxtecan-dlnk,Datroway,Daiichi Sankyo/AstraZeneca,ADC,TROP2,HR+/HER2- unresectable or metastatic breast cancer after prior endocrine and chemotherapy,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,T0,https://www.opentargets.org/,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-01-17; nelson:ADC antigen
2025,CDER,delgocitinib,Anzupgo,LEO Pharma,small_molecule,JAK1_JAK2_JAK3_TYK2,Moderate-to-severe chronic hand eczema,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,T0,,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-07-23
2025,CDER,depemokimab-ulaa,Exdensur,GSK,mAb,IL5,Severe eosinophilic asthma as add-on maintenance therapy,FALSE,FALSE,,TRUE,FALSE,FALSE,T2,https://www.omim.org/entry/147850,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-12-16
2025,CDER,donidalorsen,Dawnzera,Ionis Pharmaceuticals,oligonucleotide_ASO,KLKB1,Prevent attacks of hereditary angioedema,,,,TRUE,TRUE,FALSE,T1,https://www.omim.org/entry/106100,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,approved 2025-08-21; nelson:SERPING1/F12/KNG1 Mendelian for HAE; kallikrein (KLKB1) is central to bradykinin generation; direction matches
